Name,Director,Year,Rating,Rewatch,Tags,Watched Date
The Big Lebowski,"Joel Coen, Ethan Coen",1998,,Yes,,4/2/16
The Big Short,Adam McKay,2015,,,,7/13/21
The Cabin in the Woods,Drew Goddard,2011,,,,4/13/16
The Cabinet of Dr. Caligari,Robert Wiene,1920,,,,10/19/21
The Card Counter,Paul Schrader,2021,3.5,,,9/10/21
The Conjuring,James Wan,2013,,,,1/17/18
The Curious Case of Benjamin Button,David Fincher,2008,,,,5/14/15
The Dark Knight,Christopher Nolan,2008,,,,1/13/15
The Departed,Martin Scorsese,2006,,,,1/23/15
The Descent,Neil Marshall,2005,,,,5/22/21
The Dig,Simon Stone,2021,,,,4/18/21
The Dirt,Jeff Tremaine,2019,,,,3/27/19
The Elephant Man,David Lynch,1980,4,,,11/12/21
The Empire Strikes Back,Irvin Kershner,1980,,Yes,,5/26/15
The Evil Dead,Sam Raimi,1981,,,,7/13/15
The Exorcist,William Friedkin,1973,,,,6/8/16
The Exorcist,William Friedkin,1973,4,Yes,,10/20/21
The Father,Florian Zeller,2020,,,,4/24/21
The Favourite,Yorgos Lanthimos,2018,4,,,8/19/21
The Florida Project,Sean Baker,2017,4.5,,,5/6/21
The Fly,David Cronenberg,1986,4.5,,,10/5/21
The Fountain,Darren Aronofsky,2006,4,,,9/16/21
The French Dispatch,Wes Anderson,2021,4,,,11/5/21
The Girl with the Dragon Tattoo,David Fincher,2011,3.5,,,7/30/21
The Godfather,Francis Ford Coppola,1972,,,,1/11/15
The Godfather: Part II,Francis Ford Coppola,1974,,,,1/17/15
"The Good, the Bad and the Ugly",Sergio Leone,1966,,,,5/13/21
The Graduate,Mike Nichols,1967,,,,5/13/15
The Grand Budapest Hotel,Wes Anderson,2014,,,,2/21/15
The Green Knight,David Lowery,2021,4,,,8/25/21
The Green Mile,Frank Darabont,1999,,,,1/14/15
The Hangover,Todd Phillips,2009,,,,5/21/15
The Hateful Eight,Quentin Tarantino,2015,,,,1/13/16
The Hitman's Bodyguard,Patrick Hughes,2017,1,,,6/25/21
The Host,Bong Joon Ho,2006,3.5,,,10/12/21
The Hudsucker Proxy,"Joel Coen, Ethan Coen",1994,3,,,7/11/21
